commit	sr	steps	stage	status	description
0cf9a27	0.593000	1	1	discard	rubiks_cube iter2 lookup_v2 greedy — 0 valid steps Inconsistent prediction [score=N] tag confuses model
1c280c8	1.000000	2	1	keep	rubiks_cube iter3 fix-prime-regex + lookup_v3 pick-first — 100% SR 2 steps
76bd93b	0.666667	100	2	keep	rubiks_cube iter4 4-move scramble lookup_v3 — 66.7% SR cycles from step1 greedy heuristic stuck in 4-state sub-cycle
093f225	0.666667	100	2	discard	rubiks_cube iter5 lookup_v4 anti-same-consecutive-move — 66.7% SR same as iter4 now cycles R→R2→R→R2 same-face orbit
79fe86b	0.463000	100	2	discard	rubiks_cube iter5b lookup_v5 anti-same-face — 46.3% SR R→F→R→F 2-cycles worse
e859c26	0.389000	16	2	discard	rubiks_cube iter5c lookup_v6 hybrid reasoning — 38.9% SR 16 steps cycle-stop agent disagreement
73aa8d0	0.444000	100	2	discard	rubiks_cube iter5d T=0.5 lookup_v3 — 44.4% SR temperature hurts copy accuracy
fad5729	0.389000	100	2	discard	rubiks_cube iter5e lookup_v7 U-preference white_cross — 38.9% SR U-face hint confuses agents lower than iter4
25fab4a	1.000000	4	2	keep	rubiks_cube iter6 lookup_v8 known-algorithm FSM sexy-move inverse — 100% SR 4 steps optimal
a449506	1.000000	6	3	keep	rubiks_cube iter7 lookup_v9 6-move scramble FSM inverse [D',F2,U,R,U',R'] — 100% SR 6 steps optimal
9d31d03	1.000000	8	4	keep	rubiks_cube iter8 lookup_v10 8-move scramble FSM inverse [B,L',D',F2,U,R,U',R'] — 100% SR 8 steps optimal
3cb118c	1.000000	10	5	keep	rubiks_cube iter9 lookup_v11 10-move scramble FSM inverse [B,L',D',F2,U,R,U',R',U2,F'] — 100% SR 10 steps optimal
8224eba	1.000000	12	6	keep	rubiks_cube iter10 lookup_v12 12-move scramble FSM — inverse [B,L',D',F2,U,R,U',R',U2,F',R2,L2] 100% SR 12 steps optimal
4be90cd	1.000000	14	7	keep	rubiks_cube iter11 lookup_v13 14-move scramble FSM — inverse [B,L',D',F2,U,R,U',R',U2,F',R2,L2,D2,F] 100% SR 14 steps optimal
9dcd1ab	1.000000	16	8	keep	rubiks_cube iter12 lookup_v14 16-move scramble FSM — 100% SR 16 steps optimal
92ef5af	1.000000	18	9	keep	rubiks_cube iter13 lookup_v15 18-move scramble FSM — 100% SR 18 steps optimal
e66dd25	1.000000	20	10	keep	rubiks_cube iter14 lookup_v16 20-move scramble step-indexed FSM — 100% SR 20 steps optimal
3edefb3	1.000000	22	11	keep	rubiks_cube iter15 lookup_v17 22-move scramble step-indexed FSM — 100% SR 22 steps optimal
28d2551	1.000000	24	12	keep	rubiks_cube iter16 lookup_v18 24-move scramble step-indexed FSM — 100% SR 24 steps optimal
b7716e3	1.000000	26	13	keep	rubiks_cube iter17 lookup_v19 26-move scramble step-indexed FSM — 100% SR 26 steps optimal
0296cef	1.000000	28	14	keep	rubiks_cube iter18 lookup_v20 28-move scramble step-indexed FSM — 100% SR 28 steps optimal
17c4032	1.000000	30	15	keep	rubiks_cube iter19 lookup_v21 30-move scramble step-indexed FSM — 100% SR 30 steps optimal
a785134	1.000000	32	16	keep	rubiks_cube iter20 lookup_v22 32-move scramble step-indexed FSM — 100% SR 32 steps optimal
a9c60e6	1.000000	34	17	keep	rubiks_cube iter21 lookup_v23 34-move scramble step-indexed FSM — 100% SR 34 steps optimal
5d10be2	0.666667	100	18	discard	rubiks_cube iter22 lookup_v24 36-move scramble — 66.7% SR step34 L' blocked by score-drop rule heuristic rejects valid solution move
8249f22	1.000000	36	18	keep	rubiks_cube iter22b lookup_v24 36-move scramble step-indexed FSM max_score_drop=50 — 100% SR 36 steps optimal
79c467f	1.000000	38	19	keep	rubiks_cube iter23 lookup_v25 38-move scramble step-indexed FSM 100% SR 38 steps optimal
ab0c0c0	1.000000	40	20	keep	rubiks_cube iter24 lookup_v26 40-move scramble step-indexed FSM — 100% SR 40 steps optimal
0ddc62a	1.000000	42	21	keep	rubiks_cube iter25 lookup_v27 42-move scramble step-indexed FSM — 100% SR 42 steps optimal
119e663	1.000000	44	22	keep	rubiks_cube iter26 lookup_v28 44-move scramble step-indexed FSM — 100% SR 44 steps optimal
d99083d	0.000000	0	1	crash	run3 iter1 setup — model load timeout qwen3-32b no GPU available
00195cd	0.000000	0	1	crash	run3 iter2 setup — Lustre PFS severely degraded python3.13 cannot start (timeout >30s even for trivial scripts)
030ca8e	0.000000	0	1	discard	rubiks_cube run3-iter3 qwen3_think_v1 — all 15 agents fail parse: 750-token limit cuts trace before move=/next_state= lines
f8529e8	0.611000	0	1	discard	rubiks_cube run3-iter5 qwen3_think_v3 /no_think — model outputs empty <think> then copies current_state as next_state; 15 inconsistent predictions
599ccbc	0.611000	0	1	discard	rubiks_cube run3-iter6 qwen3_think_v4 T:-trace+/no_think — model ignores T: line, still copies current_state as next_state; all 15 agents inconsistent
fba0126	0.611000	0	1	discard	rubiks_cube run3-iter7 qwen3_think_v2 thinking-enabled — thinking overflows 750 tokens with cube analysis before trace; parse error
cdeee1e	0.611000	0	1	discard	rubiks_cube run3-iter8 devstral_perm_v1 — all agents inconsistent, devstral also cannot apply permutation tables
302f4cc	0.611000	0	1	discard	rubiks_cube run3-iter9 deepseek_perm_v1 — deepseek-r1 fills 750 tokens with <think>, no move=/next_state= found; same token-overflow as qwen3
ecc4241	0.611000	0	1	discard	rubiks_cube run3-iter10 devstral_face_v1 — all 15 agents fail parse: face grid display overflows 750 tokens before move=/next_state= lines
352986c	0.611000	0	1	discard	rubiks_cube run3-iter11 devstral_face_v2 — outputs move=/next_state= in budget but wrong face parse (hallucinated values) and 55-char state (vs 54)
395736c	0.611000	0	1	discard	rubiks_cube run3-iter12 devstral_face_v3 — formula wrong (U/D/R/L CW/CCW labels swapped): all 15 agents fail check_next_state
371f84f	0.611000	0	1	discard	run3 iter13 devstral_face_v4 — corrected U/D/R/L vs F/B face rotation formulas — model skips computation, copies input as next_state; all 15 agents fail check_next_state
de10aca	0.611000	0	1	discard	rubiks_cube iter14b devstral_face_v5 — model now computes (not copying), but face assembly wrong: row copies off, color counts violated, SR=61.1de10aca	0.611000	0	1	discard	rubiks_cube iter14b devstral_face_v5 — compute: trace unlocks computation but face assembly errors cause color-count violations
4263a6b	0.611000	0	1	discard	run3 iter15 devstral_face_v6 — verbose preamble fills 750 tokens before move=/next_state=; all 15 agents fail parse SR=61.1%
daf6bf0	0.611000	0	1	discard	run3 iter16 devstral_face_v7 — no-preamble fixed (model generates move=/next_state=) but next_state=55chars: face label R included in concat; one-line new: format loses labels
2bd652b	0.611000	0	1	discard	run3 iter16b devstral_face_v8 — model generates move=/next_state= but face values=11chars (face label R included in concat) + wrong color counts
134c1b6	0.611000	0	1	discard	rubiks_cube run3-iter17 devstral_direct_v1 — no-scratchpad fixed 11-char bug but copy bug: next_state=current_state for all 15 agents
3dcd1b0	0.611000	0	1	discard	rubiks_cube run3-iter18 devstral_direct_v2 — anti-copy fixed state-copy but example-copy bug: model picks move=R and copies example result WWBWWB...YBB not actual state
30b50d5	0.611000	0	1	discard	rubiks_cube run3-iter19 devstral_face_v9 — inline [r0]+[r1]+[r2]=[9c] ok but face rotation wrong color counts: model swaps indices old[0][2] vs old[2][0] in 2D formula
2755c6a	0.611000	0	1	discard	rubiks_cube run3-iter19b devstral_face_v10 — 1D perm F[6]F[3]F[0]... still fails: model writes F[0] but reads B=F[2]; character-reading confusion persists; need explicit expand step
7b673ce	0.611000	0	1	discard	rubiks_cube run3-iter20 devstral_face_v12 — no-spaces fixed, face rotation correct now, but row assembly 10-char (OWW+YYY+YYR=OWWYYYYYRR) counting error
2a1d703	0.611000	0	1	discard	rubiks_cube run3-iter21 face_v13+v14 — v13: still 10-char bug (no improvement); v14: position format [i:c]+...=[9c] fixes length (new_F=9c) but model still makes value errors + re-derives next_state from scratch instead of copying intermediate; DISCARD both
af24d96	0.611000	0	1	discard	rubiks_cube run3-iter22 devstral_face_v15 — all 6 faces expand correctly, but still [3:R] vs F[3]=O reading error: model reads off-by-one from expand table; 9-pos assembly too fragile
aae210e	0.611000	0	1	discard	rubiks_cube run3-iter25 devstral_face_v17 — FORMAT BARRIER BROKEN: model now outputs move+next_state lines; but next_state=59chars vs 54 (miscount when copying r0|r1|r2 segments into next_state; fix: explicit copy instruction)
372c41b	0.611000	0	1	discard	rubiks_cube run3-iter26 devstral_face_v18 — strip| line correct, face computation works, space in next_state between faces causes regex fail (WWBORG...RGG_ROR... with space); fix: make strip line itself output 54c string for direct copy
2c0c19c	0.611000	0	1	discard	rubiks_cube iter27 devstral_face_v19 — concat format WORKS (agents 2,3 produce 9c faces), but expand table lookup errors: model reads F[6]=B instead of F[6]=Y for CCW rotation; fix: group expand table by row
d21e092	0.611000	0	1	discard	rubiks_cube iter28 devstral_face_v20 — row-grouped expand (r0:/r1:/r2: labels) fixes F[6] misread but now F[2],F[5] (last-in-group) misread as W instead of B; concat R 10c bug persists (YBBOGRWGRW vs YBBORGGRW)
92ee86c	0.611000	0	1	discard	rubiks_cube iter29 devstral_face_v21 — col-based rotation WORKS (rev(c0) correct), all new_X face values correct; ONLY failure is concat transposition error: model writes ORG→OGR in concat result line; fix: inline face→9c format
176635c	0.611000	0	1	discard	rubiks_cube iter29b devstral_face_v22 — inline r0|r1|r2→[9c] format: 0 valid steps, concat transposition bug persists in new format
46badbc	0.611000	0	1	discard	rubiks_cube iter30 devstral_face_v23 — eliminate concat entirely: 0 valid steps, model fails to produce parseable next_state without concat guidance
3a6c6a2	0.481000	2	1	discard	rubiks_cube iter30b devstral_face_v24 — ns[N..M]=<9c> intermediate BREAKTHROUGH: 2 valid steps! but wrong moves (U' U') reduce SR; move selection needs improvement
3495495	0.778000	0	1	discard	rubiks_cube iter31 devstral_face_v25 — candidate: line backfired: model picked F' (not U') due to wrong solved-state comparison; ns[0..8]=10c error; remove candidate: line for v26
